tela;arquivo;modulo;classificacao;usa_api_ou_client;usa_cache_ou_storage_local;marcadores_mock_demo
Atlas Strategic Scenario Planning;features/strategic_scenario_planning/presentation/screens/atlas_strategic_scenario_planning_screen.dart;strategic_scenario_planning;REVISAR;False;False;
Atlas Strategy Center;features/strategy_center/presentation/screens/atlas_strategy_center_screen.dart;strategy_center;REVISAR;False;False;
Atlas Strategy Execution;features/strategy_execution/presentation/screens/atlas_strategy_execution_screen.dart;strategy_execution;REVISAR;False;False;
Technical Dashboard;features/technical_dashboard/presentation/screens/technical_dashboard_screen.dart;technical_dashboard;REVISAR;False;True;
Atlas Unified Workflow;features/unified_workflow/presentation/screens/atlas_unified_workflow_screen.dart;unified_workflow;REVISAR;False;False;
Atlas Workflow;features/workflow_engine/presentation/screens/atlas_workflow_screen.dart;workflow_engine;REVISAR;False;False;
Animal Detail;features/animal/presentation/screens/animal_detail_screen.dart;animal;V1_ESSENCIAL;False;True;
Animal Form;features/animal/presentation/screens/animal_form_screen.dart;animal;V1_ESSENCIAL;False;False;
Animal List;features/animal/presentation/screens/animal_list_screen.dart;animal;V1_ESSENCIAL;False;True;
Animal Health Form;features/animal_health/presentation/screens/animal_health_form_screen.dart;animal_health;V1_ESSENCIAL;False;False;
Animal Health List;features/animal_health/presentation/screens/animal_health_list_screen.dart;animal_health;V1_ESSENCIAL;False;True;
Health Overview;features/animal_health/presentation/screens/health_overview_screen.dart;animal_health;V1_ESSENCIAL;False;True;
Animal Reproduction Form;features/animal_reproduction/presentation/screens/animal_reproduction_form_screen.dart;animal_reproduction;V1_ESSENCIAL;False;False;
Animal Reproduction List;features/animal_reproduction/presentation/screens/animal_reproduction_list_screen.dart;animal_reproduction;V1_ESSENCIAL;False;True;
Reproduction Overview;features/animal_reproduction/presentation/screens/reproduction_overview_screen.dart;animal_reproduction;V1_ESSENCIAL;False;True;
Company Selection;features/authentication/presentation/screens/company_selection_screen.dart;authentication;V1_ESSENCIAL;True;False;
Login;features/authentication/presentation/screens/login_screen.dart;authentication;V1_ESSENCIAL;True;False;
Password Recovery;features/authentication/presentation/screens/password_recovery_screen.dart;authentication;V1_ESSENCIAL;True;False;
Register;features/authentication/presentation/screens/register_screen.dart;authentication;V1_ESSENCIAL;True;False;
Welcome;features/authentication/presentation/screens/welcome_screen.dart;authentication;V1_ESSENCIAL;False;False;
Atlas Offline Center;core/offline/presentation/atlas_offline_center_screen.dart;core;V1_ESSENCIAL;False;False;
Atlas Intelligence;features/dashboard/presentation/screens/atlas_intelligence_screen.dart;dashboard;V1_ESSENCIAL;False;False;
Atlas Operations Intelligence;features/dashboard/presentation/screens/atlas_operations_intelligence_screen.dart;dashboard;V1_ESSENCIAL;False;False;
Dashboard;features/dashboard/presentation/screens/dashboard_screen.dart;dashboard;V1_ESSENCIAL;False;True;
Decision Scenario Simulator;features/dashboard/presentation/screens/decision_scenario_simulator_screen.dart;dashboard;V1_ESSENCIAL;False;False;
Executive Dashboard;features/dashboard/presentation/screens/executive_dashboard_screen.dart;dashboard;V1_ESSENCIAL;False;True;
Executive Decision Center;features/dashboard/presentation/screens/executive_decision_center_screen.dart;dashboard;V1_ESSENCIAL;False;False;
Atlas Farm Intelligence;features/farm/presentation/screens/atlas_farm_intelligence_screen.dart;farm;V1_ESSENCIAL;False;False;
Farm Detail;features/farm/presentation/screens/farm_detail_screen.dart;farm;V1_ESSENCIAL;False;True;
Farm Form;features/farm/presentation/screens/farm_form_screen.dart;farm;V1_ESSENCIAL;False;False;
Farm List;features/farm/presentation/screens/farm_list_screen.dart;farm;V1_ESSENCIAL;True;True;
Farm Finance Form;features/farm_finance/presentation/screens/farm_finance_form_screen.dart;farm_finance;V1_ESSENCIAL;False;False;
Farm Finance List;features/farm_finance/presentation/screens/farm_finance_list_screen.dart;farm_finance;V1_ESSENCIAL;False;True;
Finance Overview;features/farm_finance/presentation/screens/finance_overview_screen.dart;farm_finance;V1_ESSENCIAL;False;True;
Farm Inventory Form;features/farm_inventory/presentation/screens/farm_inventory_form_screen.dart;farm_inventory;V1_ESSENCIAL;False;False;
Farm Inventory List;features/farm_inventory/presentation/screens/farm_inventory_list_screen.dart;farm_inventory;V1_ESSENCIAL;False;True;
Inventory Overview;features/farm_inventory/presentation/screens/inventory_overview_screen.dart;farm_inventory;V1_ESSENCIAL;False;True;
Atlas Field Operations;features/field_operations/presentation/screens/atlas_field_operations_screen.dart;field_operations;V1_ESSENCIAL;False;False;
Herd Group Form;features/herd/presentation/screens/herd_group_form_screen.dart;herd;V1_ESSENCIAL;False;False;
Herd List;features/herd/presentation/screens/herd_list_screen.dart;herd;V1_ESSENCIAL;False;True;
Herd Overview;features/herd/presentation/screens/herd_overview_screen.dart;herd;V1_ESSENCIAL;False;False;
Atlas Livestock Module;features/livestock_operations/presentation/screens/atlas_livestock_module_screen.dart;livestock_operations;V1_ESSENCIAL;False;False;
Nutrition Overview;features/nutrition/presentation/screens/nutrition_overview_screen.dart;nutrition;V1_ESSENCIAL;False;True;
Atlas Offline Field;features/offline_field/presentation/screens/atlas_offline_field_screen.dart;offline_field;V1_ESSENCIAL;False;False;
Paddock Form;features/paddock/presentation/screens/paddock_form_screen.dart;paddock;V1_ESSENCIAL;False;False;
Paddock List;features/paddock/presentation/screens/paddock_list_screen.dart;paddock;V1_ESSENCIAL;False;True;
